Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1557343467.414500,31841,0,0
2,Payment,1557343467.414777,29617,1,0
1,NewOrder,1557343467.414785,49349,1,0
3,OrderStatus,1557343467.414789,41174,0,0
2,Payment,1557343467.414793,47190,0,0
1,NewOrder,1557343467.414796,64715,0,0
2,Payment,1557343467.414800,57772,1,0
1,NewOrder,1557343467.414803,68637,1,0
2,Payment,1557343467.414807,70843,0,0
5,StockLevel,1557343467.414811,73501,1,0
1,NewOrder,1557343467.414815,86433,0,0
2,Payment,1557343467.414828,78713,1,0
2,Payment,1557343467.414832,83839,1,0
1,NewOrder,1557343467.414837,94630,1,0
1,NewOrder,1557343467.414841,99413,0,0
2,Payment,1557343467.415941,100675,1,0
1,NewOrder,1557343467.415945,109668,0,0
2,Payment,1557343467.415951,107524,1,0
4,Delivery,1557343467.415955,139081,1,0
1,NewOrder,1557343467.415958,119509,0,0
4,Delivery,1557343467.415964,148645,0,0
2,Payment,1557343467.415968,146244,1,0
3,OrderStatus,1557343467.415972,149779,1,0
1,NewOrder,1557343467.415975,157143,0,0
1,NewOrder,1557343467.415979,166050,1,0
1,NewOrder,1557343467.415982,163927,0,0
5,StockLevel,1557343467.417105,165624,0,0
1,NewOrder,1557343467.417109,173317,1,0
1,NewOrder,1557343467.417112,176773,0,0
2,Payment,1557343467.417116,178781,1,0
2,Payment,1557343467.417120,181446,0,0
4,Delivery,1557343467.417124,205931,1,0
5,StockLevel,1557343467.417128,184393,0,0
1,NewOrder,1557343467.417287,207972,0,0
2,Payment,1557343467.417301,210222,1,0
3,OrderStatus,1557343467.417305,209785,0,0
2,Payment,1557343467.417308,215495,0,0
1,NewOrder,1557343467.417316,222803,1,0
2,Payment,1557343467.417320,220749,0,0
2,Payment,1557343467.417326,225281,0,0
1,NewOrder,1557343467.418473,226843,1,0
2,Payment,1557343467.418541,230967,0,0
5,StockLevel,1557343467.418548,228754,1,0
1,NewOrder,1557343467.418551,238048,1,0
2,Payment,1557343467.418554,235119,0,0
2,Payment,1557343467.418557,239983,0,0
1,NewOrder,1557343467.418562,247165,1,0
4,Delivery,1557343467.418566,255246,0,0
1,NewOrder,1557343467.418569,253391,1,0
2,Payment,1557343467.418572,257688,1,0
2,Payment,1557343467.418575,259936,0,0
1,NewOrder,1557343467.418630,262639,1,0
5,StockLevel,1557343467.418634,262140,0,0
4,Delivery,1557343467.419704,273584,0,0
2,Payment,1557343467.419707,265154,1,0
1,NewOrder,1557343467.419710,271672,1,0
1,NewOrder,1557343467.419713,275332,1,0
1,NewOrder,1557343467.419716,285243,0,0
1,NewOrder,1557343467.419719,283262,1,0
2,Payment,1557343467.419722,287285,1,0
1,NewOrder,1557343467.419727,293772,0,0
2,Payment,1557343467.419730,290680,1,0
2,Payment,1557343467.419733,295580,1,0
1,NewOrder,1557343467.419739,301329,0,0
4,Delivery,1557343467.421039,307405,1,0
2,Payment,1557343467.421043,304074,0,0
2,Payment,1557343467.421047,309269,0,0
1,NewOrder,1557343467.421050,320407,1,0
2,Payment,1557343467.421053,314534,0,0
2,Payment,1557343467.421056,318186,0,0
1,NewOrder,1557343467.421059,323630,0,0
4,Delivery,1557343467.421076,332851,1,0
2,Payment,1557343467.421081,326537,0,0
1,NewOrder,1557343467.421086,338728,0,0
1,NewOrder,1557343467.421091,340553,1,0
1,NewOrder,1557343467.421095,346153,0,0
2,Payment,1557343467.421101,343863,1,0
2,Payment,1557343467.422211,346862,1,0
2,Payment,1557343467.422218,348664,0,0
2,Payment,1557343467.422224,350442,1,0
1,NewOrder,1557343467.422230,354192,0,0
1,NewOrder,1557343467.422236,356110,1,0
2,Payment,1557343467.422242,358060,0,0
1,NewOrder,1557343467.422248,364209,1,0
2,Payment,1557343467.422254,361539,0,0
1,NewOrder,1557343467.422261,370567,0,0
1,NewOrder,1557343467.422267,372393,1,0
1,NewOrder,1557343467.422272,378640,0,0
1,NewOrder,1557343467.422286,383140,1,0
2,Payment,1557343467.423404,380195,0,0
3,OrderStatus,1557343467.423416,382392,0,0
2,Payment,1557343467.423421,385696,1,0
1,NewOrder,1557343467.423426,388491,0,0
1,NewOrder,1557343467.423431,393470,1,0
1,NewOrder,1557343467.423436,401917,0,0
1,NewOrder,1557343467.423441,399951,1,0
2,Payment,1557343467.423446,404479,1,0
2,Payment,1557343467.423451,406375,0,0
2,Payment,1557343467.423456,408231,1,0
3,OrderStatus,1557343467.423462,410614,0,0
2,Payment,1557343467.423473,412383,1,0
2,Payment,1557343467.424557,413133,0,0
1,NewOrder,1557343467.424562,423062,1,0
1,NewOrder,1557343467.424567,421169,0,0
1,NewOrder,1557343467.424572,425890,0,0
2,Payment,1557343467.424577,427747,1,0
1,NewOrder,1557343467.424582,432618,0,0
1,NewOrder,1557343467.424605,438257,1,0
2,Payment,1557343467.424613,436263,0,0
2,Payment,1557343467.424618,440036,0,0
3,OrderStatus,1557343467.424624,441388,1,0
